32288383,0,213.79,streetLight,1680276718
27644984,1,369.47,household,1680301376
13646047,3,121.57,streetLight,1680302987
11835695,2,494.75,streetLight,1680328371
26379929,3,485.22,office,1680442971
28975205,2,566.94,factory,1680490501
34837914,2,431.01,office,1680582216
20752592,0,138.32,household,1680602513
12246076,3,328.99,streetLight,1680667437
18305117,3,509.37,streetLight,1680754486
41386533,3,399.79,factory,1680795570
33321988,3,19.12,factory,1680854833
35917193,0,110.86,office,1680923149
27418652,1,307.81,streetLight,1680933182
9653880,1,22.17,factory,1680977769
6768270,1,460.97,streetLight,1680995643
1994987,2,286.73,office,1681015145
29431625,0,245.0,office,1681018608
22625951,1,47.14,office,1681082808
37387029,1,39.62,streetLight,1681137226
13084443,3,528.82,office,1681141538
31412455,0,594.32,office,1681143447
13009638,1,573.38,office,1681325996
29322685,0,271.39,factory,1681332070
16096515,2,150.8,factory,1681352567
28400921,0,31.23,factory,1681381300
1761744,2,261.65,office,1681390513
1058759,0,374.56,streetLight,1681413174
30688677,0,254.62,office,1681414839
42248297,1,155.42,factory,1681489324
37922292,3,591.71,household,1681540664
31440780,3,359.19,streetLight,1681597565
12563371,2,8.18,office,1681642923
18423423,0,364.8,factory,1681676516
33758856,1,84.02,office,1681723423
17753883,2,235.16,office,1681736032
40896125,2,358.47,household,1681825383
7968303,2,183.65,streetLight,1681826267
10035836,0,274.1,streetLight,1681998271
12841372,2,585.07,household,1682004847
32302567,2,277.96,factory,1682028008
17522837,3,437.76,household,1682142205
16439045,2,428.87,factory,1682159628
40165471,3,417.68,office,1682180280
164362,3,257.46,streetLight,1682259342
12215260,3,304.51,factory,1682274948
32996398,2,364.94,streetLight,1682280681
9403262,2,545.26,office,1682291863
5356688,2,74.78,streetLight,1682378205
32718464,2,170.36,household,1682384865
39430569,0,453.42,office,1682398875
11498420,0,95.51,streetLight,1682448627
2311502,2,502.07,household,1682450238
39883453,3,185.7,streetLight,1682489208
29267860,0,528.2,household,1682490327
20889847,1,598.76,streetLight,1682499546
41870938,2,388.73,factory,1682566792
1178097,0,220.15,streetLight,1682605685
10711342,2,490.47,streetLight,1682617934
20875032,1,237.97,office,1682641016
16476984,2,420.96,office,1682649950
18699192,3,451.23,factory,1682717776
15871664,0,181.79,streetLight,1682834858
36818414,0,574.72,streetLight,1682837758
29373616,1,320.68,household,1682855989
40820754,1,110.37,office,1682887922
34337827,0,239.85,household,1682908929
21149060,1,147.83,household,1682959961
37843798,1,469.49,household,1682964859
32663582,3,96.52,streetLight,1683006229
23347648,0,361.62,streetLight,1683022057
4077233,0,477.8,streetLight,1683059268
18630915,0,280.33,factory,1683143254
33957418,2,427.39,office,1683167636
11670243,3,541.03,office,1683181179
25111982,3,583.62,office,1683300086
31622998,2,463.43,streetLight,1683305378
9332749,3,249.56,office,1683316612
7176212,3,64.92,streetLight,1683390704
17719590,1,51.31,household,1683433957
5304630,3,575.76,office,1683437782
3768510,1,509.76,factory,1683440159
16888449,0,568.02,household,1683467681
32348285,1,267.12,streetLight,1683498637
22376905,3,480.44,factory,1683498970
21646249,2,552.84,factory,1683529939
13195973,2,167.63,office,1683541547
21932322,3,570.08,office,1683542278
21222053,3,91.47,office,1683587948
19619389,0,63.58,streetLight,1683629655
12234745,2,498.42,streetLight,1683659632
1089438,1,346.08,factory,1683662846
4348717,0,103.73,streetLight,1683674556
33814077,3,444.9,office,1683753276
17164495,0,166.62,household,1683764633
7515418,3,259.26,household,1683779084
25372576,0,594.8,factory,1683830142
9843138,2,119.59,office,1683952551
2793194,0,380.13,streetLight,1684160889
11919485,0,380.58,household,1684167632
33961611,3,156.33,office,1684210190
21173337,3,543.28,household,1684214885
20885179,3,141.36,office,1684229111
1592069,3,158.27,household,1684235218
30585114,1,376.66,office,1684236272
42585494,3,33.88,office,1684254465
14812645,2,339.0,streetLight,1684329089
37451729,3,412.05,streetLight,1684362071
33316868,3,346.82,office,1684432104
5194272,1,533.57,household,1684447423
10393561,1,74.53,factory,1684500103
17392466,1,324.66,factory,1684553226
10103947,1,64.24,household,1684658190
42650980,1,215.59,household,1684667855
34424253,1,46.59,streetLight,1684696324
5006467,3,55.9,office,1684714190
9269386,0,267.06,office,1684766248
41930736,2,494.07,factory,1684777564
33847228,1,114.88,office,1684868763
11481767,3,359.75,office,1684946850
25392993,0,141.42,household,1684991581
21736530,0,116.14,factory,1685024555
32200245,3,567.58,household,1685025243
32381023,2,289.74,office,1685063671
16764919,3,509.47,streetLight,1685071985
31339020,1,25.31,streetLight,1685134132
21754122,2,404.67,streetLight,1685153159
39142080,2,364.59,factory,1685196832
11188023,3,463.06,streetLight,1685225652
16414181,2,220.42,office,1685236196
21560945,1,584.35,factory,1685243125
42022187,1,328.72,streetLight,1685316223
31253677,0,0.46,factory,1685350496
7850291,0,85.35,streetLight,1685410085
36107186,2,81.24,household,1685465696
27494943,2,56.75,household,1685617652
24646092,2,134.89,streetLight,1685681916
7492190,2,116.91,factory,1685705185
1650823,0,242.84,factory,1685736235
3315047,3,532.7,household,1685775791
37100868,3,236.83,streetLight,1685890568
20772860,0,376.7,office,1686009300
5527914,2,537.19,streetLight,1686013499
21202659,1,266.67,factory,1686024655
6269641,3,294.87,factory,1686047198
1255208,0,560.84,factory,1686059522
36239984,3,535.79,household,1686123705
1562661,1,509.93,factory,1686146938
9933436,3,342.55,office,1686232358
37800018,3,77.35,streetLight,1686283265
27397876,2,88.61,office,1686296787
40984097,0,328.59,factory,1686350360
17691042,3,102.76,factory,1686351255
37309388,3,298.93,factory,1686416549
18272271,3,283.4,factory,1686499842
11406940,2,361.98,household,1686510257
1559180,2,464.35,household,1686533278
19656757,3,281.77,streetLight,1686539793
3280986,1,338.45,factory,1686544426
15159028,2,143.19,household,1686550923
25484424,0,544.54,household,1686553497
38243219,1,351.14,household,1686555754
3516055,2,544.09,streetLight,1686583760
7311787,2,249.39,factory,1686599167
29997716,0,48.84,streetLight,1686640993
35192701,2,38.05,streetLight,1686687243
30456766,1,10.04,factory,1686692431
34266069,3,217.09,office,1686719779
24238364,2,256.46,factory,1686756306
10986398,3,271.3,household,1686763803
37704051,1,513.75,streetLight,1686773702
26369057,3,42.99,factory,1686787617
9056058,2,168.25,household,1686918748
10081233,0,460.37,streetLight,1687016544
24852004,0,566.46,factory,1687048976
11385075,2,325.63,streetLight,1687070817
41799367,0,150.72,factory,1687162171
1339566,0,123.71,factory,1687165920
24946326,1,531.65,streetLight,1687179844
38808155,2,555.91,household,1687244420
23794442,0,211.84,household,1687251629
