1200,0,32,80,141,0,22
1400,1,194,544,184,0,1
1600,2,52,117,245,0,56
1800,3,16,41,253,0,136
2000,4,181,429,257,0,4
2200,5,57,140,259,0,33
2400,6,159,504,260,0,252
2600,7,121,331,262,0,241
2800,8,143,397,263,1,73
3000,9,40,106,267,1,30
3200,10,15,41,270,0,58
3400,11,36,110,273,0,155
3600,12,111,330,275,0,181
3800,13,123,386,277,1,98
4000,14,121,312,285,3,238
4200,15,113,305,288,1,209
4400,16,121,353,289,1,214
4600,17,65,163,293,2,196
4800,18,76,231,295,2,273
5000,19,190,569,296,3,50
5200,20,179,554,298,2,145
5400,21,123,304,304,3,72
5600,22,200,449,305,0,12
5800,23,166,401,307,2,165
6000,24,161,456,308,2,106
6200,25,83,255,310,0,4
6400,26,49,111,314,2,156
6600,27,143,322,316,3,289
6800,28,30,83,318,2,196
7000,29,95,293,319,1,89
7200,30,97,226,320,2,102
7400,31,166,419,322,6,88
7600,32,49,134,324,3,26
7800,33,120,342,325,4,175
8000,34,156,472,327,2,178
8200,35,79,212,328,5,228
8400,36,14,37,329,4,143
8600,37,105,326,330,1,199
8800,38,67,157,331,0,234
9000,39,153,462,332,1,127
9200,40,160,456,333,8,66
9400,41,96,227,334,1,86
9600,42,9,21,335,8,151
9800,43,163,370,336,6,194
10000,44,19,57,337,8,152
10200,45,183,442,338,1,28
10400,46,44,110,339,0,82
10600,47,48,139,341,2,281
10800,48,127,329,342,6,30
11000,49,143,397,345,4,263
11200,50,91,285,347,7,236
11400,51,71,222,349,5,129
11600,52,99,246,350,1,134
11800,53,152,378,350,7,255
12000,54,66,188,353,10,78
12200,55,62,172,354,7,198
12400,56,139,325,356,8,141
12600,57,169,488,357,7,141
12800,58,165,519,359,5,185
13000,59,36,85,361,7,212
13200,60,84,247,362,9,281
13400,61,126,390,364,2,296
13600,62,97,241,365,3,50
13800,63,108,275,367,9,283
14000,64,64,175,368,10,146
14200,65,77,191,368,7,256
14400,66,57,164,369,0,116
14600,67,90,213,370,3,293
14800,68,53,157,371,10,91
15000,69,180,448,372,13,160
15200,70,79,190,373,6,182
15400,71,82,235,374,14,175
15600,72,117,310,375,10,62
15800,73,198,440,376,7,243
16000,74,200,552,377,6,297
16200,75,129,376,378,0,192
16400,76,75,199,379,10,249
16600,77,120,297,379,7,222
16800,78,86,274,381,7,255
17000,79,68,183,382,15,177
17200,80,117,369,383,13,111
17400,81,54,139,384,8,243
17600,82,24,57,385,7,262
17800,83,107,324,386,13,40
18000,84,197,555,387,11,296
18200,85,193,522,388,14,285
18400,86,198,470,390,13,41
18600,87,126,297,391,16,229
18800,88,60,178,393,1,128
19000,89,200,449,396,3,37
19200,90,11,30,398,10,122
