1329925588967,2556001,13056,14406,8119,0071,0193,0150,0,0,0,0,0,0
1329925588977,2556002,13054,14405,8119,69,192,151,0,0,0,0,0,0
1329925588987,2556003,13049,14404,8119,70,194,152,0,0,0,0,0,0
1329925588997,2556004,13051,14401,8118,71,193,152,0,0,0,0,0,0
1329925589007,2556005,13049,14397,8116,69,191,156,0,0,0,0,0,0
1329925589017,2556006,13046,14392,8113,64,191,155,0,0,0,0,0,0
1329925589027,2556007,13045,14390,8113,62,192,152,0,0,0,0,0,0
1329925589037,2556008,13046,14389,8113,64,191,150,0,0,0,0,0,0
1329925589047,2556009,13045,14389,8113,69,191,147,0,0,0,0,0,0
1329925589057,2556010,13045,14391,8113,65,190,149,0,0,0,0,0,0
1329925589067,2556011,13044,14391,8117,64,192,149,0,0,0,0,0,0
1329925589077,2556012,13045,14391,8118,63,191,150,0,0,0,0,0,0
1329925589087,2556013,13045,14392,8122,65,186,154,0,0,0,0,0,0
1329925589097,2556014,13046,14392,8119,69,181,155,0,0,0,0,0,0
1329925589107,2556015,13046,14392,8117,68,177,156,0,0,0,0,0,0
1329925589117,2556016,13049,14393,8113,70,178,156,0,0,0,0,0,0
1329925589127,2556017,13051,14394,8108,70,179,158,0,0,0,0,0,0
1329925589137,2556018,13052,14396,8107,71,182,157,0,0,0,0,0,0
1329925589147,2556019,13054,14397,8108,72,184,156,0,0,0,0,0,0
1329925589157,2556020,13056,14397,8109,69,190,154,0,0,0,0,0,0
1329925589167,2556021,13055,14397,8110,67,192,156,0,0,0,0,0,0
1329925589177,2556022,13058,14398,8115,69,192,155,0,0,0,0,0,0
1329925589187,2556023,13062,14397,8117,68,189,154,0,0,0,0,0,0
1329925589197,2556024,13063,14394,8115,67,186,151,0,0,0,0,0,0
1329925589207,2556025,13061,14390,8111,64,186,149,0,0,0,0,0,0
1329925589217,2556026,13060,14386,8108,63,189,148,0,0,0,0,0,0
1329925589227,2556027,13062,14387,8104,64,189,147,0,0,0,0,0,0
1329925589237,2556028,13061,14385,8102,64,189,149,0,0,0,0,0,0
1329925589247,2556029,13058,14379,8100,65,187,152,0,0,0,0,0,0
1329925589257,2556030,13055,14374,8096,67,189,155,0,0,0,0,0,0
1329925589267,2556031,13054,14369,8094,70,186,152,0,0,0,0,0,0
1329925589277,2556032,13049,14363,8090,72,183,157,0,0,0,0,0,0
1329925589287,2556033,13044,14360,8087,71,184,160,0,0,0,0,0,0
